fighter,elo_score,average_soo_score,ultimate_score,kd_x,sub.att_x,avg_sig_strikes,avg_takedowns,avg_sub_attempts,avg_control_time,kd_y,sig.str._y,td_y,sub.att_y,rev.,knockouts,submissions,first_round_finishes,sig_str_landed_total,sig_str_attempted_total,takedowns_landed_total,takedowns_attempted_total,sig_strikes_per_min,takedown_avg_per_min,knockdown_avg,sig_strikes_absorbed_per_min,sub_avg_per_min,total_rounds,total_fights,average_rounds_per_fight
Diego Ferreira,1574,1547,1563,0.090909091,0.182,21.576,0.273,0.182,34.636,0.091,21.576,0.273,0.182,0.152,5,7,4,712,1792,1,30,5.04,0.96,0.32,3.43,0.64,33,15,2.2
Bryce Mitchell,1573,1507,1547,0.04,0.44,10.64,1.04,0.44,147.68,0.04,10.64,1.04,0.44,0.04,0,9,8,240,410,3,58,2.3,3.45,0.14,1.63,1.58,25,10,2.5
Ian Machado Garry,1573,1501,1544,0.0,0.364,11.636,0.273,0.364,55.727,0.0,11.636,0.273,0.364,0.0,7,1,4,535,966,13,9,5.5,0.77,0.62,3.17,0.31,11,3,3.67
Ricardo Lamas,1573,1537,1559,0.052631579,0.263,15.789,0.553,0.263,63.342,0.053,15.789,0.553,0.263,0.184,6,5,3,741,1566,13,86,3.13,1.84,0.19,2.87,0.95,38,17,2.24
Brad Tavares,1573,1546,1562,0.058823529,0.0,16.265,0.235,0.0,39.485,0.059,16.265,0.235,0.0,0.029,5,2,5,1106,2547,16,60,3.43,0.74,0.19,3.31,0.0,68,25,2.72
James Vick,1573,1531,1556,0.148148148,0.185,17.481,0.074,0.185,16.667,0.148,17.481,0.074,0.185,0.074,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,27,14,1.93
Katlyn Chookagian,1573,1526,1554,0.02173913,0.109,22.565,0.087,0.109,21.065,0.022,22.565,0.087,0.109,0.0,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,46,16,2.88
Norma Dumont,1572,1515,1549,0.066666667,0.0,19.133,0.567,0.0,81.033,0.067,19.133,0.567,0.0,0.033,0,2,2,574,1147,5,30,3.86,1.72,0.2,2.16,0.0,30,10,3.0
Bryan Battle,1572,1503,1544,0.105263158,0.105,20.895,0.211,0.105,65.579,0.105,20.895,0.211,0.105,0.0,4,6,3,340,640,2,17,5.44,0.96,0.48,4.14,0.48,19,9,2.11
Brandon Moreno,1571,1553,1564,0.068965517,0.138,19.5,0.517,0.138,54.638,0.069,19.5,0.517,0.138,0.103,5,11,8,1131,2585,12,65,3.99,1.59,0.21,3.53,0.42,58,17,3.41
Zak Cummings,1571,1506,1545,0.235294118,0.206,14.529,0.206,0.206,41.529,0.235,14.529,0.206,0.206,0.029,5,12,0,500,1394,7,25,2.96,0.62,0.71,2.91,0.62,34,14,2.43
Montel Jackson,1571,1470,1530,0.5,0.091,14.455,1.0,0.091,108.0,0.5,14.455,1.0,0.091,0.091,8,0,7,372,690,2,35,3.39,3.41,1.77,1.42,0.27,22,10,2.2
Julianna Pena,1571,1509,1546,0.0,0.258,15.613,0.581,0.258,87.226,0.0,15.613,0.581,0.258,0.032,5,3,3,593,1327,13,45,3.56,1.59,0.34,3.45,0.57,31,11,2.82
Chris Gutierrez,1571,1493,1540,0.138888889,0.028,22.722,0.083,0.028,12.722,0.139,22.722,0.083,0.028,0.056,9,1,4,818,1384,13,10,4.72,0.26,0.43,2.64,0.09,36,13,2.77
Mairbek Taisumov,1571,1501,1543,0.210526316,0.0,12.263,0.368,0.0,20.895,0.211,12.263,0.368,0.0,0.0,0,0,0,233,595,7,11,2.98,1.34,0.77,3.03,0.0,19,9,2.11
Josh Emmett,1570,1551,1562,0.315789474,0.026,19.237,0.289,0.026,20.342,0.316,19.237,0.289,0.026,0.026,7,2,7,731,2012,9,29,4.04,0.91,0.99,4.61,0.08,38,14,2.71
